item_name,value,is_edible,power
rusty_axe,200,0,10
rusty_hammer,200,0,10
rusty_sickle,200,0,10
rusty_shovel,200,0,10
bronze_axe,500,0,14
bronze_hammer,500,0,14
bronze_sickle,500,0,14
bronze_shovel,500,0,14
steel_axe,2000,0,19
steel_hammer,2000,0,19
steel_sickle,2000,0,19
steel_shovel,2000,0,19
adamant_axe,25000,0,24
adamant_hammer,25000,0,24
adamant_sickle,25000,0,24
adamant_shovel,25000,0,24
mithril_axe,10000,0,30
mithril_hammer,10000,0,30
mirthril_sickle,10000,0,30
mirthil_shovel,10000,0,30
rusty_pail,200,0,10
fibre,1,0,
wood,1,0,
stone,2,0,
coal,50,0,
copper_ore,15,0,
bronze_ingot,200,0,
iron_ore,50,0,
steel_ingot,500,0,
adamant_ore,500,0,
adamant_ingot,2500,0,
mithril_ore,200,0,
mithril_ingot,1000,0,
gold_ore,500,0,
gold_ingot,2500,0,
flour,50,1,
bread,100,1,
trout,50,1,
raw_meat,500,1,
pottage,50,1,
carrot,5,1,
turnip,5,1,
pumpkin,5,1,
potato,5,1,
onion,5,1,
strawberry,5,1,
cauliflower,5,1,
tomato,5,1,
parsnip,5,1,
green_bean,5,1,
corn,5,1,
leek,5,1,
wheat,5,1,
sunflower,5,1,
beetroot,5,1,
cabbage,5,1,
red_cabbage,5,1,
broccoli,5,1,
brussels_sprout,5,1,
bell_pepper,5,1,
carrot_seed,5,0,
turnip_seed,5,0,
pumpkin_seed,5,0,
potato_seed,5,0,
onion_seed,5,0,
strawberry_seed,5,0,
cauliflower_seed,5,0,
tomato_seed,5,0,
parsnip_seed,5,0,
green_bean_seed,5,0,
corn_seed,5,0,
leek_seed,5,0,
wheat_seed,5,0,
sunflower_seed,5,0,
beetroot_seed,5,0,
cabbage_seed,5,0,
red_cabbage_seed,5,0,
broccoli_seed,5,0,
brussels_sprout_seed,5,0,
bell_pepper_seed,5,0,
chest,100,0,
deluxe_chest,1000,0,
